# Simulation 15 (Up to date)
# 1324 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (46.2 m/s)
#
# Mach number (​),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.006,0.49
0.006,0.489
0.006,0.488
0.006,0.487
0.006,0.486
0.006,0.486
0.006,0.487
0.006,0.487
0.006,0.487
0.006,0.487
0.006,0.487
0.006,0.487
0.006,0.487
0.006,0.487
0.006,0.487
0.006,0.486
0.006,0.485
0.006,0.484
0.006,0.483
0.006,0.483
0.006,0.483
0.006,0.484
0.006,0.484
0.006,0.485
0.006,0.485
0.006,0.484
0.006,0.483
0.006,0.482
0.006,0.481
0.006,0.48
0.006,0.48
0.006,0.48
0.006,0.481
0.006,0.481
0.006,0.482
0.006,0.482
0.006,0.483
0.006,0.484
0.006,0.485
0.006,0.485
0.006,0.486
0.006,0.486
0.006,0.486
0.006,0.486
0.006,0.486
0.006,0.487
0.006,0.488
0.006,0.489
0.006,0.489
0.006,0.49
0.006,0.491
0.006,0.492
0.005,0.493
0.005,0.494
0.005,0.495
0.006,0.492
0.006,0.49
0.006,0.487
0.006,0.485
0.006,0.482
0.006,0.482
0.006,0.482
0.006,0.482
0.006,0.482
0.006,0.482
0.006,0.483
0.006,0.485
0.006,0.486
0.006,0.487
0.006,0.488
0.006,0.488
0.006,0.489
0.006,0.489
0.006,0.489
0.006,0.49
0.006,0.489
0.006,0.489
0.006,0.489
0.006,0.488
0.006,0.488
0.006,0.488
0.006,0.488
0.006,0.487
0.006,0.486
# Event LIFTOFF occurred at t=0.85 seconds
0.006,0.485
0.006,0.483
0.006,0.481
0.006,0.478
0.007,0.474
0.007,0.471
0.007,0.468
0.008,0.464
0.008,0.46
0.008,0.456
0.009,0.452
0.009,0.447
0.01,0.442
0.011,0.437
0.011,0.432
0.012,0.428
0.013,0.423
0.013,0.419
0.014,0.415
0.015,0.411
0.016,0.407
0.017,0.403
0.018,0.4
0.019,0.396
0.019,0.393
0.02,0.39
0.021,0.387
0.022,0.384
0.023,0.382
0.024,0.379
0.026,0.376
0.027,0.374
0.028,0.371
0.029,0.369
0.03,0.367
0.031,0.365
0.032,0.363
0.033,0.361
0.034,0.359
0.035,0.358
0.037,0.356
0.038,0.355
0.039,0.353
0.04,0.352
0.041,0.351
0.042,0.349
0.043,0.348
0.044,0.347
0.046,0.346
0.047,0.345
0.048,0.344
0.049,0.343
0.05,0.341
0.051,0.341
0.052,0.34
0.054,0.339
0.055,0.338
0.056,0.337
0.057,0.336
0.058,0.335
0.059,0.334
0.061,0.333
0.062,0.333
0.063,0.332
0.064,0.331
0.065,0.33
0.067,0.33
0.068,0.329
0.069,0.328
0.07,0.327
0.071,0.327
0.072,0.326
0.074,0.325
0.075,0.325
0.076,0.324
0.077,0.324
0.078,0.323
0.079,0.322
0.081,0.322
0.082,0.321
0.083,0.321
0.084,0.32
0.085,0.32
0.087,0.319
0.088,0.319
0.089,0.318
0.09,0.318
# Event LAUNCHROD occurred at t=1.72 seconds
0.091,0.317
0.093,0.316
0.096,0.315
0.1,0.314
0.106,0.312
0.112,0.31
0.118,0.308
0.124,0.307
0.13,0.305
0.136,0.305
0.142,0.305
0.148,0.305
0.154,0.305
0.16,0.305
0.166,0.305
0.172,0.305
0.178,0.305
0.184,0.305
0.19,0.305
0.196,0.305
0.202,0.305
0.208,0.305
0.214,0.305
0.22,0.305
0.226,0.305
0.233,0.305
0.239,0.305
0.245,0.305
0.251,0.305
0.257,0.306
0.263,0.306
0.27,0.306
0.276,0.306
0.282,0.306
0.288,0.306
0.295,0.306
0.301,0.307
0.307,0.307
0.313,0.307
0.319,0.307
0.326,0.307
0.332,0.308
0.338,0.308
0.344,0.308
0.351,0.308
0.357,0.308
0.363,0.309
0.369,0.309
0.376,0.309
0.382,0.309
0.388,0.31
0.395,0.31
0.401,0.31
0.407,0.311
0.414,0.311
0.42,0.311
0.426,0.311
0.433,0.312
0.439,0.312
0.445,0.312
0.452,0.313
0.458,0.313
0.464,0.314
0.47,0.314
0.477,0.314
0.483,0.315
0.489,0.315
0.496,0.315
0.502,0.316
0.508,0.316
0.515,0.317
0.521,0.317
0.527,0.318
0.534,0.318
0.54,0.319
0.546,0.319
0.552,0.319
0.559,0.32
0.565,0.32
0.571,0.321
0.577,0.322
0.584,0.322
0.59,0.323
0.596,0.323
0.603,0.324
0.609,0.324
0.615,0.325
0.621,0.326
0.628,0.326
0.634,0.327
0.64,0.327
0.646,0.328
0.653,0.329
0.659,0.329
0.665,0.33
0.671,0.331
0.678,0.332
0.684,0.332
0.69,0.333
0.696,0.334
0.702,0.335
0.709,0.335
0.715,0.336
0.721,0.337
0.727,0.338
0.733,0.339
0.74,0.34
0.746,0.341
0.752,0.342
0.758,0.343
0.764,0.344
0.771,0.345
0.777,0.346
0.783,0.347
0.789,0.348
0.795,0.349
0.801,0.351
0.807,0.352
0.813,0.353
0.819,0.354
0.825,0.356
0.831,0.357
